Customer,Churn,Card,Start_Date,Customer_Service_Calls,Credit_Limit,Total_Revolving_Balance,Average_Open_To_Buy,Average_Utilisation_Ratio,Age,Gender,Education,Marital_Status,Dependents,Income
797197508,No,Silver,2020-06-01,1,2315.0,1565,750.0,0.676,48.0,F,Graduate,Married,2,Less than €30K
812854728,No,Silver,2020-01-01,1,7645.0,2076,5569.0,0.272,58.0,F,Second level,Single,5,Less than €30K
768000743,No,Silver,2020-01-01,2,6394.0,0,6394.0,0.0,55.0,F,Second level,Single,2,Less than €30K
722161439,No,Silver,2020-08-01,3,4663.0,0,4663.0,0.0,41.0,F,Graduate,,2,€30K - €50K
759029725,No,Silver,2021-02-01,4,1879.0,1486,393.0,0.791,37.0,F,Second level,Single,1,Less than €30K
764982590,No,Silver,2018-10-01,4,6036.0,1409,4627.0,0.233,56.0,M,PhD,Married,2,€50K - €80K
726241334,No,Platinum,2019-02-01,1,34516.0,1464,33052.0,0.042,52.0,M,Post LC,Married,0,€100K +
816118170,Yes,Silver,2020-01-01,2,1819.0,725,1094.0,0.399,,M,Graduate,Single,1,€50K - €80K
794814582,No,Silver,2021-04-01,2,2591.0,2340,251.0,0.903,33.0,F,Graduate,Married,1,Less than €30K
782671532,No,Silver,2019-02-01,3,1438.3,0,1438.3,0.0,61.0,F,Unknown,Married,1,Unknown
740480403,No,Gold,2020-04-01,2,34516.0,1793,32723.0,0.052,38.0,M,Second level,Single,3,€50K - €80K
723739839,No,Silver,2021-10-01,2,4662.0,0,4662.0,0.0,41.0,F,Second level,Married,3,Less than €30K
766019890,Yes,Silver,2019-12-01,3,1461.0,0,1461.0,0.0,50.0,F,Post LC,Married,1,Unknown
717728762,No,Silver,2019-03-01,2,14784.0,1374,13410.0,0.093,59.0,M,Second level,,1,€30K - €50K
787197606,No,Silver,2021-10-01,4,9725.0,0,9725.0,0.0,33.0,F,Second level,Divorced,2,Unknown
756436735,No,Silver,2019-03-01,3,2611.0,1573,1038.0,0.602,54.0,F,Unknown,Married,2,Less than €30K
738668878,Yes,Silver,2019-05-01,5,3032.0,0,3032.0,0.0,54.0,M,Second level,Married,3,€30K - €50K
796931249,No,Silver,2018-08-01,2,6103.0,1798,4305.0,0.295,58.0,M,Second level,Single,3,€100K +
732552310,No,Silver,2019-12-01,2,1909.0,1753,156.0,0.918,54.0,M,Post LC,Married,1,€50K - €80K
775271124,No,Silver,2018-07-01,2,9592.0,1968,7624.0,0.205,60.0,M,Second level,Married,0,€50K - €80K
761084149,No,Silver,2020-01-01,2,1438.3,743,695.3,0.517,47.0,F,Graduate,Divorced,4,Less than €30K
734612270,No,Silver,2020-01-01,1,2830.0,1779,1051.0,0.629,54.0,F,Graduate,Single,3,Less than €30K
783328941,No,Silver,2019-06-01,4,5267.0,0,5267.0,0.0,54.0,F,PhD,,1,Less than €30K
816689102,Yes,Silver,2020-06-01,3,2672.0,0,2672.0,0.0,53.0,F,Unknown,Single,4,Unknown
743231190,No,Silver,2019-08-01,3,7272.0,2037,5235.0,0.28,53.0,M,Second level,Married,2,€100K +
809146110,No,Silver,2020-05-01,2,3302.0,1980,1322.0,0.6,41.0,F,Graduate,Married,2,Less than €30K
813994556,,Silver,2019-11-01,3,7881.0,2517,5364.0,0.319,48.0,F,Second level,Single,4,€30K - €50K
812417043,No,Silver,2020-01-01,1,8070.0,2350,5720.0,0.291,33.0,F,Second level,Single,2,Less than €30K
807368916,No,Silver,2020-12-01,2,4789.0,1257,3532.0,0.262,36.0,F,Unknown,Married,2,€30K - €50K
731390618,No,Silver,2019-10-01,3,2221.0,1291,930.0,0.581,49.0,M,Second level,Single,0,€80K - €100K
820591773,No,Gold,2019-12-01,4,15578.0,0,15578.0,0.0,49.0,M,Graduate,Single,4,€30K - €50K
821995238,No,Silver,2020-01-01,3,3252.0,2517,735.0,0.774,49.0,F,Graduate,,2,Less than €30K
800073140,Yes,Silver,2020-07-01,4,4333.0,0,4333.0,0.0,48.0,F,Graduate,Single,4,€30K - €50K
714272609,No,Silver,2021-02-01,2,4559.0,1664,2895.0,0.365,43.0,M,Post LC,Single,3,€30K - €50K
779123009,No,Silver,2019-05-01,1,2765.0,0,2765.0,0.0,50.0,F,Graduate,Single,2,Less than €30K
759548410,No,Silver,2020-01-01,1,5570.0,1858,3712.0,0.334,51.0,M,Post LC,Divorced,4,€30K - €50K
789111114,No,Silver,2019-04-01,3,9117.0,1259,7858.0,0.138,51.0,F,Graduate,Married,3,€30K - €50K
714338662,Yes,Silver,2020-05-01,6,1789.0,0,1789.0,0.0,47.0,M,Primary level,Married,2,€50K - €80K
773931198,Yes,Silver,2019-08-01,3,3881.0,2517,1364.0,0.649,54.0,F,PhD,Married,2,Less than €30K
733626765,No,Silver,2021-09-01,5,4533.0,1977,2556.0,0.436,30.0,M,MSc,Single,2,€30K - €50K
771898342,No,Silver,2020-06-01,2,2679.0,727,1952.0,0.271,44.0,F,Post LC,Married,3,Less than €30K
774924721,No,Silver,2019-09-01,0,2672.0,1604,1068.0,0.6,53.0,M,Post LC,Married,2,€30K - €50K
723574706,No,Silver,2020-01-01,4,16156.0,2517,13639.0,0.156,49.0,M,Primary level,Single,0,€80K - €100K
719860524,No,Silver,2019-12-01,1,1837.0,665,1172.0,0.362,50.0,F,Primary level,Single,1,Less than €30K
806566891,No,Silver,2020-01-01,2,6041.0,1355,4686.0,0.224,56.0,M,Primary level,Married,1,€100K +
741152426,No,Silver,2020-01-01,4,2613.0,1599,1014.0,0.612,33.0,F,Graduate,Married,0,Unknown
735822140,No,Silver,2020-01-01,1,3176.0,1510,1666.0,0.475,35.0,M,Unknown,Married,0,€100K +
825963943,No,Silver,2020-04-01,2,1621.0,0,1621.0,0.0,44.0,F,Graduate,Married,3,Less than €30K
776386183,No,Silver,2019-10-01,3,6679.0,1207,5472.0,0.181,58.0,F,MSc,Married,0,Less than €30K
803236107,Yes,Silver,2019-08-01,3,6630.0,916,5714.0,0.138,,F,PhD,Married,2,Less than €30K
807780595,No,Silver,2020-06-01,4,28700.0,769,27931.0,0.027,43.0,M,Primary level,,3,€80K - €100K
730716193,No,Silver,2019-01-01,0,9426.0,1574,7852.0,0.167,,M,Graduate,Single,3,€30K - €50K
721346407,No,Silver,2020-11-01,3,5815.0,1698,4117.0,0.292,38.0,M,Second level,Married,2,€50K - €80K
758164933,No,Silver,2019-11-01,2,31987.0,0,31987.0,0.0,47.0,M,Primary level,Married,3,€80K - €100K
746655354,No,Silver,2019-11-01,3,1774.0,1115,659.0,0.629,46.0,F,Post LC,Divorced,3,Less than €30K
791073348,Yes,Silver,2019-06-01,2,1462.0,0,1462.0,0.0,57.0,F,Unknown,,3,Less than €30K
793651309,No,Silver,2019-04-01,1,15030.0,1395,13635.0,0.093,57.0,M,Second level,Single,1,€80K - €100K
828036083,Yes,Silver,2019-10-01,3,1438.3,0,1438.3,0.0,53.0,F,PhD,Married,2,Unknown
810963623,No,Silver,2020-01-01,2,30117.0,2129,27988.0,0.071,42.0,M,Graduate,Married,3,€80K - €100K
759311491,Yes,Platinum,2021-03-01,3,34516.0,1692,32824.0,0.049,32.0,M,Graduate,Single,2,€100K +
817920509,No,Silver,2019-11-01,3,4694.0,0,4694.0,0.0,49.0,M,Post LC,,3,€80K - €100K
719921751,No,Silver,2019-12-01,1,1438.3,862,576.3,0.599,50.0,M,Graduate,Married,2,€80K - €100K
801749461,Yes,Silver,2020-01-01,3,5173.0,0,5173.0,0.0,50.0,F,PhD,Single,3,Unknown
807000017,No,Silver,2020-04-01,1,30137.0,1368,28769.0,0.045,43.0,M,Primary level,Single,2,€100K +
725753015,No,Silver,2018-09-01,2,1869.0,1255,614.0,0.671,58.0,F,Unknown,,0,Less than €30K
